redemption_id,customer_id,points_redeemed,redemption_category,redeemed_at,dollar_value
40000055,25,2000,shopping,2025-07-05 19:30:55,14.0
40000056,25,2000,shopping,2026-05-26 19:30:55,14.0
40000057,26,25000,shopping,2025-12-15 19:30:55,175.0
40000058,26,2000,shopping,2026-05-04 19:30:55,14.0
40000059,26,2000,shopping,2025-07-02 19:30:55,14.0
40000060,26,5000,shopping,2025-09-16 19:30:55,35.0
40000061,26,5000,shopping,2026-01-12 19:30:55,35.0
40000062,27,5000,shopping,2026-04-22 19:30:55,35.0
40000063,27,2000,shopping,2026-02-27 19:30:55,14.0
40000064,28,2000,shopping,2025-09-21 19:30:55,14.0
40000065,29,5000,shopping,2025-10-05 19:30:55,35.0
40000066,29,5000,shopping,2025-12-31 19:30:55,35.0
40000067,29,2000,shopping,2026-02-07 19:30:55,14.0
40000068,29,5000,shopping,2025-06-19 19:30:55,35.0
40000069,30,2000,shopping,2026-03-20 19:30:55,14.0
40000070,30,2000,shopping,2025-12-05 19:30:55,14.0
40000071,30,2000,shopping,2025-09-15 19:30:55,14.0
40000072,31,2000,shopping,2026-03-04 19:30:55,14.0
40000073,32,2000,shopping,2026-03-12 19:30:55,14.0
40000074,32,10000,shopping,2025-08-02 19:30:55,70.0
40000075,33,5000,shopping,2025-11-16 19:30:55,35.0
40000076,33,2000,shopping,2025-06-15 19:30:55,14.0
40000077,33,2000,shopping,2025-09-23 19:30:55,14.0
40000078,33,2000,shopping,2026-03-22 19:30:55,14.0
40000079,34,2000,shopping,2026-03-24 19:30:55,14.0
40000080,34,2000,shopping,2025-11-08 19:30:55,14.0
40000081,34,5000,shopping,2025-06-13 19:30:55,35.0
40000082,34,5000,shopping,2025-12-27 19:30:55,35.0
40000083,34,2000,shopping,2025-07-20 19:30:55,14.0
40000084,35,2000,shopping,2025-07-17 19:30:55,14.0
40000085,35,2000,shopping,2025-10-21 19:30:55,14.0
40000086,35,2000,shopping,2026-01-28 19:30:55,14.0
40000087,36,5000,shopping,2025-11-10 19:30:55,35.0
40000088,36,25000,shopping,2025-09-07 19:30:55,175.0
40000089,36,2000,shopping,2025-11-01 19:30:55,14.0
40000090,36,2000,shopping,2025-07-10 19:30:55,14.0
40000091,36,5000,shopping,2025-12-16 19:30:55,35.0
40000092,37,5000,shopping,2026-05-22 19:30:55,35.0
40000093,37,2000,shopping,2025-10-20 19:30:55,14.0
40000094,37,5000,shopping,2025-07-20 19:30:55,35.0
40000095,37,5000,shopping,2025-07-10 19:30:55,35.0
40000096,37,10000,shopping,2026-04-09 19:30:55,70.0
40000097,38,5000,shopping,2025-12-03 19:30:55,35.0
40000098,38,2000,shopping,2025-11-29 19:30:55,14.0
40000099,38,5000,shopping,2026-02-24 19:30:55,35.0
40000100,38,5000,shopping,2026-01-10 19:30:55,35.0
40000101,40,25000,shopping,2025-09-15 19:30:55,175.0
40000102,40,2000,shopping,2025-11-05 19:30:55,14.0
40000103,40,2000,shopping,2025-11-28 19:30:55,14.0
40000104,41,25000,shopping,2025-12-03 19:30:55,175.0
40000105,42,5000,shopping,2025-11-05 19:30:55,35.0
40000106,42,5000,shopping,2025-09-04 19:30:55,35.0
40000107,42,5000,shopping,2025-06-19 19:30:55,35.0
40000108,43,2000,shopping,2025-12-13 19:30:55,14.0
40000109,43,5000,shopping,2025-06-28 19:30:55,35.0
40000110,43,10000,shopping,2026-01-05 19:30:55,70.0
40000111,43,5000,shopping,2025-11-01 19:30:55,35.0
40000112,43,2000,shopping,2026-03-29 19:30:55,14.0
40000113,44,5000,shopping,2026-04-29 19:30:55,35.0
40000114,44,2000,shopping,2026-03-21 19:30:55,14.0
40000115,44,2000,shopping,2025-09-14 19:30:55,14.0
40000116,45,5000,shopping,2026-02-06 19:30:55,35.0
40000117,45,2000,shopping,2025-06-07 19:30:55,14.0
40000118,45,2000,shopping,2026-04-22 19:30:55,14.0
40000119,46,10000,shopping,2026-04-11 19:30:55,70.0
40000120,47,2000,shopping,2026-03-14 19:30:55,14.0
40000121,47,5000,shopping,2025-08-09 19:30:55,35.0
40000122,47,2000,shopping,2025-07-15 19:30:55,14.0
40000123,48,5000,shopping,2026-05-19 19:30:55,35.0
40000124,48,2000,shopping,2025-11-23 19:30:55,14.0
40000125,48,2000,shopping,2025-12-20 19:30:55,14.0
40000126,48,2000,shopping,2026-04-10 19:30:55,14.0
40000127,49,5000,shopping,2025-07-23 19:30:55,35.0
40000128,49,5000,shopping,2026-02-03 19:30:55,35.0
40000129,50,2000,shopping,2025-06-12 19:30:55,14.0
40000130,50,5000,shopping,2025-07-12 19:30:55,35.0
40000131,50,5000,shopping,2025-11-12 19:30:55,35.0
40000132,50,2000,shopping,2026-02-27 19:30:55,14.0
40000133,50,2000,shopping,2026-04-25 19:30:55,14.0
40000134,51,10000,travel,2025-06-30 19:30:55,70.0
40000135,51,2000,travel,2026-01-13 19:30:55,14.0
40000136,51,5000,travel,2025-12-27 19:30:55,35.0
40000137,51,5000,travel,2026-05-06 19:30:55,35.0
40000138,51,5000,travel,2026-01-17 19:30:55,35.0
40000139,52,2000,travel,2025-11-09 19:30:55,14.0
40000140,52,5000,travel,2026-05-02 19:30:55,35.0
40000141,53,5000,travel,2025-10-17 19:30:55,35.0
40000142,53,2000,travel,2025-06-16 19:30:55,14.0
40000143,54,2000,travel,2026-04-28 19:30:55,14.0
40000144,54,2000,travel,2025-10-23 19:30:55,14.0
40000145,54,25000,travel,2025-06-09 19:30:55,175.0
40000146,55,2000,travel,2026-05-18 19:30:55,14.0
40000147,55,2000,travel,2026-01-01 19:30:55,14.0
40000148,56,5000,travel,2026-04-13 19:30:55,35.0
40000149,56,5000,travel,2026-05-14 19:30:55,35.0
40000150,56,5000,travel,2025-10-13 19:30:55,35.0
40000151,56,2000,travel,2026-04-13 19:30:55,14.0
40000152,57,2000,travel,2025-08-03 19:30:55,14.0
40000153,57,2000,travel,2025-08-26 19:30:55,14.0
40000154,57,2000,travel,2026-04-16 19:30:55,14.0
40000155,58,2000,travel,2025-07-15 19:30:55,14.0
40000156,58,10000,travel,2026-01-10 19:30:55,70.0
40000157,58,5000,travel,2026-01-02 19:30:55,35.0
40000158,58,5000,travel,2025-11-23 19:30:55,35.0
40000159,58,25000,travel,2026-02-09 19:30:55,175.0
40000160,59,5000,travel,2026-04-16 19:30:55,35.0
40000161,59,10000,travel,2025-10-04 19:30:55,70.0
40000162,60,2000,travel,2026-01-11 19:30:55,14.0
40000163,60,25000,travel,2026-03-13 19:30:55,175.0
40000164,61,2000,travel,2026-05-13 19:30:55,14.0
40000165,61,5000,travel,2026-05-19 19:30:55,35.0
40000166,61,2000,travel,2025-11-21 19:30:55,14.0
40000167,61,10000,travel,2026-03-25 19:30:55,70.0
40000168,61,2000,travel,2025-12-25 19:30:55,14.0
40000169,62,2000,travel,2025-08-24 19:30:55,14.0
40000170,62,5000,travel,2026-03-15 19:30:55,35.0
40000171,62,25000,travel,2025-12-07 19:30:55,175.0
40000172,64,2000,travel,2026-05-17 19:30:55,14.0
40000173,65,2000,travel,2026-05-24 19:30:55,14.0
40000174,65,2000,travel,2025-11-29 19:30:55,14.0
40000175,65,5000,travel,2025-08-14 19:30:55,35.0
40000176,65,2000,travel,2026-01-26 19:30:55,14.0
40000177,66,5000,travel,2025-12-29 19:30:55,35.0
40000178,66,5000,travel,2026-03-27 19:30:55,35.0
40000179,66,10000,travel,2026-01-05 19:30:55,70.0
40000180,66,5000,travel,2025-09-22 19:30:55,35.0
40000181,67,10000,travel,2026-03-05 19:30:55,70.0
40000182,67,5000,travel,2025-10-22 19:30:55,35.0
40000183,67,2000,travel,2026-03-04 19:30:55,14.0
40000184,68,5000,travel,2025-11-11 19:30:55,35.0
40000185,68,5000,travel,2026-02-15 19:30:55,35.0
40000186,68,2000,travel,2026-05-29 19:30:55,14.0
40000187,69,10000,travel,2025-09-17 19:30:55,70.0
40000188,69,25000,travel,2026-01-27 19:30:55,175.0
40000189,69,2000,travel,2025-12-19 19:30:55,14.0
40000190,69,5000,travel,2026-01-25 19:30:55,35.0
40000191,69,2000,travel,2025-07-15 19:30:55,14.0
40000192,70,5000,travel,2025-11-13 19:30:55,35.0
40000193,70,10000,travel,2025-06-29 19:30:55,70.0
40000194,70,5000,travel,2026-04-08 19:30:55,35.0
40000195,71,2000,travel,2026-01-03 19:30:55,14.0
40000196,71,25000,travel,2025-12-05 19:30:55,175.0
40000197,71,2000,travel,2026-04-10 19:30:55,14.0
40000198,72,5000,travel,2025-10-23 19:30:55,35.0
40000199,72,5000,travel,2026-05-20 19:30:55,35.0
40000200,72,10000,travel,2026-02-02 19:30:55,70.0
40000201,73,2000,travel,2025-10-15 19:30:55,14.0
40000202,74,2000,travel,2025-11-03 19:30:55,14.0
40000203,74,5000,travel,2026-05-16 19:30:55,35.0
40000204,74,2000,travel,2025-07-15 19:30:55,14.0
40000205,75,5000,travel,2026-03-18 19:30:55,35.0
40000206,75,2000,travel,2026-05-13 19:30:55,14.0
40000207,75,10000,travel,2026-04-25 19:30:55,70.0
40000208,75,10000,travel,2025-11-09 19:30:55,70.0
40000209,75,2000,travel,2025-12-16 19:30:55,14.0
40000210,76,2000,travel,2026-01-07 19:30:55,14.0
40000211,76,10000,travel,2025-12-14 19:30:55,70.0
40000212,76,2000,travel,2025-12-26 19:30:55,14.0
40000213,76,5000,travel,2025-12-24 19:30:55,35.0
40000214,76,5000,travel,2026-01-26 19:30:55,35.0
40000215,77,2000,travel,2025-07-08 19:30:55,14.0
40000216,77,2000,travel,2026-02-02 19:30:55,14.0
40000217,77,2000,travel,2025-06-23 19:30:55,14.0
40000218,77,2000,travel,2025-10-03 19:30:55,14.0
40000219,78,2000,travel,2026-01-29 19:30:55,14.0
40000220,78,10000,travel,2025-06-07 19:30:55,70.0
40000221,78,2000,travel,2026-02-06 19:30:55,14.0
40000222,78,25000,travel,2026-01-18 19:30:55,175.0
40000223,78,10000,travel,2026-01-29 19:30:55,70.0
40000224,79,5000,travel,2026-03-27 19:30:55,35.0
40000225,79,10000,travel,2025-11-21 19:30:55,70.0
40000226,80,2000,travel,2025-12-26 19:30:55,14.0
40000227,80,5000,travel,2026-03-27 19:30:55,35.0
40000228,80,5000,travel,2026-01-31 19:30:55,35.0
40000229,80,10000,travel,2026-03-31 19:30:55,70.0
40000230,80,10000,travel,2026-05-17 19:30:55,70.0
40000231,81,2000,travel,2025-07-21 19:30:55,14.0
40000232,81,5000,travel,2025-07-18 19:30:55,35.0
40000233,81,5000,travel,2025-10-21 19:30:55,35.0
40000234,82,5000,travel,2025-09-16 19:30:55,35.0
40000235,82,2000,travel,2026-02-16 19:30:55,14.0
40000236,82,2000,travel,2026-02-12 19:30:55,14.0
40000237,83,2000,travel,2025-07-26 19:30:55,14.0
40000238,83,2000,travel,2025-11-09 19:30:55,14.0
40000239,84,2000,travel,2025-08-24 19:30:55,14.0
40000240,84,2000,travel,2025-06-18 19:30:55,14.0
40000241,84,10000,travel,2026-04-12 19:30:55,70.0
40000242,84,10000,travel,2026-03-07 19:30:55,70.0
40000243,85,2000,travel,2025-11-27 19:30:55,14.0
40000244,85,2000,travel,2025-08-23 19:30:55,14.0
40000245,85,2000,travel,2025-09-22 19:30:55,14.0
40000246,85,5000,travel,2026-01-01 19:30:55,35.0
40000247,86,2000,travel,2025-09-29 19:30:55,14.0
40000248,86,2000,travel,2025-11-06 19:30:55,14.0
40000249,87,2000,travel,2025-07-02 19:30:55,14.0
40000250,87,2000,travel,2026-05-29 19:30:55,14.0
40000251,87,2000,travel,2026-04-26 19:30:55,14.0
40000252,87,2000,travel,2025-11-14 19:30:55,14.0
40000253,87,2000,travel,2026-04-03 19:30:55,14.0
40000254,88,2000,travel,2026-03-13 19:30:55,14.0
40000255,88,2000,travel,2026-05-02 19:30:55,14.0
40000256,88,10000,travel,2025-10-11 19:30:55,70.0
40000257,89,2000,travel,2026-02-22 19:30:55,14.0
40000258,89,5000,travel,2025-10-25 19:30:55,35.0
40000259,89,10000,travel,2025-09-29 19:30:55,70.0
40000260,90,5000,travel,2025-12-20 19:30:55,35.0
40000261,90,2000,travel,2026-05-18 19:30:55,14.0
40000262,90,2000,travel,2025-09-15 19:30:55,14.0
40000263,91,2000,travel,2025-09-22 19:30:55,14.0
40000264,92,2000,travel,2026-05-24 19:30:55,14.0
40000265,92,2000,travel,2026-05-06 19:30:55,14.0
40000266,92,5000,travel,2026-01-08 19:30:55,35.0
40000267,93,5000,travel,2025-10-16 19:30:55,35.0
40000268,93,10000,travel,2026-01-03 19:30:55,70.0
40000269,93,2000,travel,2026-05-01 19:30:55,14.0
40000270,93,2000,travel,2026-05-29 19:30:55,14.0
40000271,94,2000,travel,2026-03-10 19:30:55,14.0
40000272,94,10000,travel,2025-12-02 19:30:55,70.0
40000273,95,2000,travel,2026-05-18 19:30:55,14.0
40000274,95,2000,travel,2026-01-20 19:30:55,14.0
40000275,95,5000,travel,2026-05-22 19:30:55,35.0
40000276,96,5000,travel,2025-09-09 19:30:55,35.0
40000277,96,2000,travel,2025-10-22 19:30:55,14.0
40000278,96,2000,travel,2026-02-02 19:30:55,14.0
40000279,97,2000,travel,2025-10-02 19:30:55,14.0
40000280,98,5000,travel,2026-02-03 19:30:55,35.0
40000281,98,5000,travel,2025-11-19 19:30:55,35.0
40000282,98,5000,travel,2026-04-15 19:30:55,35.0
40000283,98,2000,travel,2025-11-26 19:30:55,14.0
40000284,99,5000,travel,2025-12-14 19:30:55,35.0
40000285,99,10000,travel,2025-12-09 19:30:55,70.0
40000286,99,10000,travel,2025-07-09 19:30:55,70.0
40000287,99,10000,travel,2026-04-22 19:30:55,70.0
40000288,100,2000,travel,2026-01-01 19:30:55,14.0
40000289,100,2000,travel,2026-02-03 19:30:55,14.0
40000290,100,2000,travel,2025-07-23 19:30:55,14.0
40000291,101,10000,dining,2025-10-05 19:30:55,70.0
40000292,101,2000,dining,2025-07-12 19:30:55,14.0
40000293,101,5000,dining,2026-03-11 19:30:55,35.0
40000294,101,10000,dining,2026-02-03 19:30:55,70.0
40000295,102,5000,dining,2026-05-04 19:30:55,35.0
40000296,102,2000,dining,2025-07-08 19:30:55,14.0
40000297,102,5000,dining,2026-01-25 19:30:55,35.0
40000298,102,2000,dining,2025-07-07 19:30:55,14.0
40000299,102,2000,dining,2026-03-20 19:30:55,14.0
40000300,103,5000,dining,2025-08-30 19:30:55,35.0
40000301,103,2000,dining,2025-11-25 19:30:55,14.0
40000302,103,5000,dining,2025-08-13 19:30:55,35.0
40000303,104,2000,dining,2025-07-30 19:30:55,14.0
40000304,105,2000,dining,2026-01-28 19:30:55,14.0
40000305,105,10000,dining,2025-11-30 19:30:55,70.0
40000306,105,2000,dining,2026-01-30 19:30:55,14.0
40000307,105,2000,dining,2025-09-16 19:30:55,14.0
40000308,105,5000,dining,2025-07-01 19:30:55,35.0
40000309,106,2000,dining,2026-01-23 19:30:55,14.0
40000310,106,5000,dining,2026-04-19 19:30:55,35.0
40000311,106,25000,dining,2025-12-10 19:30:55,175.0
40000312,106,10000,dining,2026-03-08 19:30:55,70.0
40000313,106,5000,dining,2025-09-28 19:30:55,35.0
40000314,107,10000,dining,2025-11-02 19:30:55,70.0
40000315,107,2000,dining,2025-07-28 19:30:55,14.0
40000316,107,5000,dining,2025-09-11 19:30:55,35.0
40000317,107,2000,dining,2026-05-12 19:30:55,14.0
40000318,109,2000,dining,2026-05-13 19:30:55,14.0
40000319,109,2000,dining,2026-05-27 19:30:55,14.0
40000320,109,2000,dining,2025-12-22 19:30:55,14.0
40000321,109,2000,dining,2026-01-13 19:30:55,14.0
40000322,109,2000,dining,2026-03-15 19:30:55,14.0
40000323,110,10000,dining,2025-07-09 19:30:55,70.0
40000324,111,2000,dining,2026-02-14 19:30:55,14.0
40000325,111,2000,dining,2025-10-03 19:30:55,14.0
40000326,112,10000,dining,2026-05-17 19:30:55,70.0
40000327,112,2000,dining,2025-09-27 19:30:55,14.0
40000328,112,5000,dining,2026-03-07 19:30:55,35.0
40000329,113,2000,dining,2025-09-11 19:30:55,14.0
40000330,114,2000,dining,2025-10-02 19:30:55,14.0
40000331,114,5000,dining,2025-10-01 19:30:55,35.0
40000332,114,2000,dining,2026-04-30 19:30:55,14.0
40000333,115,10000,dining,2025-10-01 19:30:55,70.0
40000334,115,2000,dining,2025-06-15 19:30:55,14.0
40000335,115,2000,dining,2025-07-03 19:30:55,14.0
40000336,116,2000,dining,2025-09-15 19:30:55,14.0
40000337,116,25000,dining,2025-10-14 19:30:55,175.0
40000338,116,5000,dining,2025-10-17 19:30:55,35.0
40000339,116,2000,dining,2026-04-25 19:30:55,14.0
40000340,116,2000,dining,2026-02-17 19:30:55,14.0
40000341,117,2000,dining,2025-07-10 19:30:55,14.0
40000342,118,5000,dining,2025-10-25 19:30:55,35.0
40000343,118,5000,dining,2025-08-31 19:30:55,35.0
40000344,118,2000,dining,2025-10-27 19:30:55,14.0
40000345,119,2000,dining,2025-09-07 19:30:55,14.0
40000346,119,5000,dining,2026-04-01 19:30:55,35.0
40000347,119,2000,dining,2025-09-02 19:30:55,14.0
40000348,119,10000,dining,2026-03-08 19:30:55,70.0
40000349,120,2000,dining,2025-12-19 19:30:55,14.0
40000350,120,2000,dining,2025-06-30 19:30:55,14.0
40000351,120,2000,dining,2025-06-22 19:30:55,14.0
40000352,120,10000,dining,2025-11-30 19:30:55,70.0
40000353,121,2000,dining,2026-04-09 19:30:55,14.0
40000354,121,2000,dining,2025-12-15 19:30:55,14.0
40000355,121,5000,dining,2026-04-03 19:30:55,35.0
40000356,121,2000,dining,2026-02-13 19:30:55,14.0
40000357,121,10000,dining,2025-12-13 19:30:55,70.0
40000358,122,2000,dining,2026-05-11 19:30:55,14.0
40000359,122,25000,dining,2026-01-03 19:30:55,175.0
40000360,122,2000,dining,2026-04-24 19:30:55,14.0
40000361,122,5000,dining,2025-09-17 19:30:55,35.0
40000362,123,2000,dining,2025-09-14 19:30:55,14.0
40000363,123,5000,dining,2026-03-02 19:30:55,35.0
40000364,123,10000,dining,2025-07-15 19:30:55,70.0
40000365,123,2000,dining,2026-05-18 19:30:55,14.0
40000366,123,2000,dining,2025-12-28 19:30:55,14.0
40000367,124,5000,dining,2026-05-11 19:30:55,35.0
40000368,124,2000,dining,2026-02-13 19:30:55,14.0
40000369,124,2000,dining,2026-04-23 19:30:55,14.0
40000370,125,10000,dining,2025-08-16 19:30:55,70.0
40000371,125,5000,dining,2025-09-03 19:30:55,35.0
40000372,125,2000,dining,2025-11-11 19:30:55,14.0
40000373,125,2000,dining,2025-10-30 19:30:55,14.0
40000374,126,2000,dining,2025-11-26 19:30:55,14.0
40000375,126,5000,dining,2026-01-14 19:30:55,35.0
40000376,126,5000,dining,2026-05-27 19:30:55,35.0
40000377,126,5000,dining,2025-06-12 19:30:55,35.0
40000378,126,5000,dining,2026-06-01 19:30:55,35.0
40000379,127,2000,dining,2025-10-23 19:30:55,14.0
40000380,127,2000,dining,2026-05-05 19:30:55,14.0
40000381,128,2000,dining,2025-08-17 19:30:55,14.0
40000382,128,5000,dining,2026-04-20 19:30:55,35.0
40000383,128,2000,dining,2025-07-07 19:30:55,14.0
40000384,128,2000,dining,2026-05-22 19:30:55,14.0
40000385,128,2000,dining,2025-06-11 19:30:55,14.0
40000386,129,5000,dining,2026-03-18 19:30:55,35.0
40000387,129,2000,dining,2025-12-29 19:30:55,14.0
40000388,130,5000,dining,2025-08-14 19:30:55,35.0
40000389,130,5000,dining,2025-11-06 19:30:55,35.0
40000390,130,2000,dining,2025-08-15 19:30:55,14.0
40000391,131,2000,dining,2025-11-03 19:30:55,14.0
40000392,131,5000,dining,2025-07-02 19:30:55,35.0
40000393,131,10000,dining,2026-02-21 19:30:55,70.0
40000394,131,2000,dining,2025-09-20 19:30:55,14.0
40000395,131,5000,dining,2025-10-09 19:30:55,35.0
40000396,132,10000,dining,2025-11-20 19:30:55,70.0
40000397,132,2000,dining,2026-04-13 19:30:55,14.0
40000398,133,25000,dining,2025-12-17 19:30:55,175.0
40000399,134,10000,dining,2026-01-11 19:30:55,70.0
40000400,134,2000,dining,2025-09-11 19:30:55,14.0
40000401,135,5000,dining,2025-07-29 19:30:55,35.0
40000402,135,2000,dining,2026-04-04 19:30:55,14.0
40000403,135,10000,dining,2026-02-14 19:30:55,70.0
40000404,135,25000,dining,2025-11-20 19:30:55,175.0
40000405,136,10000,dining,2026-04-13 19:30:55,70.0
40000406,136,5000,dining,2025-11-10 19:30:55,35.0
40000407,136,2000,dining,2025-12-15 19:30:55,14.0
40000408,137,10000,dining,2025-09-24 19:30:55,70.0
40000409,137,2000,dining,2026-01-08 19:30:55,14.0
40000410,137,2000,dining,2025-10-14 19:30:55,14.0
40000411,137,5000,dining,2026-05-31 19:30:55,35.0
40000412,138,5000,dining,2025-12-21 19:30:55,35.0
40000413,139,10000,dining,2025-12-21 19:30:55,70.0
40000414,140,10000,dining,2026-05-31 19:30:55,70.0
40000415,141,10000,dining,2025-09-11 19:30:55,70.0
40000416,141,2000,dining,2025-06-08 19:30:55,14.0
40000417,141,2000,dining,2025-08-18 19:30:55,14.0
40000418,141,2000,dining,2025-09-05 19:30:55,14.0
40000419,143,2000,dining,2025-07-11 19:30:55,14.0
40000420,144,10000,dining,2025-07-27 19:30:55,70.0
40000421,144,10000,dining,2025-11-24 19:30:55,70.0
40000422,144,2000,dining,2025-07-03 19:30:55,14.0
40000423,144,2000,dining,2025-09-03 19:30:55,14.0
40000424,144,2000,dining,2025-07-07 19:30:55,14.0
40000425,145,5000,dining,2026-05-07 19:30:55,35.0
40000426,145,10000,dining,2026-04-29 19:30:55,70.0
40000427,146,5000,dining,2026-01-08 19:30:55,35.0
40000428,146,5000,dining,2026-03-31 19:30:55,35.0
40000429,146,5000,dining,2026-03-18 19:30:55,35.0
40000430,146,2000,dining,2025-12-11 19:30:55,14.0
40000431,146,10000,dining,2025-08-05 19:30:55,70.0
40000432,147,2000,dining,2025-11-19 19:30:55,14.0
40000433,147,2000,dining,2026-05-03 19:30:55,14.0
40000434,147,2000,dining,2025-08-21 19:30:55,14.0
40000435,147,5000,dining,2026-05-12 19:30:55,35.0
40000436,148,2000,dining,2025-10-07 19:30:55,14.0
40000437,148,2000,dining,2026-01-27 19:30:55,14.0
40000438,148,25000,dining,2026-02-19 19:30:55,175.0
40000439,148,5000,dining,2026-05-17 19:30:55,35.0
40000440,148,2000,dining,2025-12-18 19:30:55,14.0
40000441,149,5000,dining,2025-11-13 19:30:55,35.0
40000442,149,5000,dining,2025-08-11 19:30:55,35.0
40000443,150,2000,dining,2025-12-25 19:30:55,14.0
40000444,150,2000,dining,2025-11-30 19:30:55,14.0
40000445,150,5000,dining,2026-02-07 19:30:55,35.0
40000446,150,2000,dining,2025-07-10 19:30:55,14.0
40000447,151,2000,shopping,2025-11-17 19:30:55,14.0
40000448,151,2000,shopping,2025-12-10 19:30:55,14.0
40000449,151,5000,shopping,2025-07-21 19:30:55,35.0
40000450,151,5000,shopping,2025-11-04 19:30:55,35.0
40000451,152,5000,shopping,2026-03-31 19:30:55,35.0
40000452,152,10000,shopping,2026-03-12 19:30:55,70.0
40000453,152,10000,shopping,2026-01-25 19:30:55,70.0
40000454,153,25000,shopping,2026-02-11 19:30:55,175.0
40000455,153,2000,shopping,2026-01-25 19:30:55,14.0
40000456,153,2000,shopping,2026-04-05 19:30:55,14.0
40000457,153,2000,shopping,2025-12-16 19:30:55,14.0
40000458,153,5000,shopping,2025-10-21 19:30:55,35.0
40000459,154,2000,shopping,2026-03-05 19:30:55,14.0
40000460,155,5000,shopping,2026-05-04 19:30:55,35.0
40000461,155,5000,shopping,2025-10-18 19:30:55,35.0
40000462,155,2000,shopping,2025-12-29 19:30:55,14.0
40000463,155,2000,shopping,2025-10-15 19:30:55,14.0
40000464,156,10000,shopping,2025-10-14 19:30:55,70.0
40000465,156,5000,shopping,2025-12-08 19:30:55,35.0
40000466,156,2000,shopping,2025-06-06 19:30:55,14.0
40000467,156,10000,shopping,2026-03-20 19:30:55,70.0
40000468,156,2000,shopping,2025-10-17 19:30:55,14.0
40000469,157,2000,shopping,2026-06-03 19:30:55,14.0
40000470,158,5000,shopping,2025-12-24 19:30:55,35.0
40000471,158,5000,shopping,2025-07-18 19:30:55,35.0
40000472,158,5000,shopping,2025-10-07 19:30:55,35.0
40000473,159,2000,shopping,2025-09-06 19:30:55,14.0
40000474,159,10000,shopping,2025-09-13 19:30:55,70.0
